#comment
time[s] TB-x[cm] TB-y[cm] TB-z[cm] TM-x[cm] TM-y[cm] TM-z[cm] TT-x[cm] TT-y[cm] TT-z[cm] UL-x[cm] UL-y[cm] UL-z[cm] LL-x[cm] LL-y[cm] LL-z[cm] JAW-x[cm] JAW-y[cm] JAW-z[cm]
0 -1.7392812 -1.4046575 -0.012407488 0.91789748 -0.18434838 -0.0069269752 3.9491105 -1.3339646 -0.0051871163 6.9169491 0.45648933 -0 6.6169491 -2.3372107 -0 4.2894638 -1.9912367 -0
0.005 -1.7392812 -1.4046575 -0.012407488 0.91789748 -0.18434838 -0.0069269752 3.9491105 -1.3339646 -0.0051871163 6.9169491 0.45648933 -0 6.6169491 -2.3372107 -0 4.2894638 -1.9912367 -0
0.01 -1.7392812 -1.4046575 -0.012407488 0.91789748 -0.18434838 -0.0069269752 3.9491105 -1.3339646 -0.0051871163 6.9169491 0.45648933 -0 6.6169491 -2.3372107 -0 4.2894638 -1.9912367 -0
0.015 -1.7392812 -1.4046575 -0.012407488 0.91789748 -0.18434838 -0.0069269752 3.9491105 -1.3339646 -0.0051871163 6.9169491 0.45648933 -0 6.6169491 -2.3372107 -0 4.2894638 -1.9912367 -0
0.02 -1.7392812 -1.4046575 -0.012407488 0.91789748 -0.18434838 -0.0069269752 3.9491105 -1.3339646 -0.0051871163 6.9169491 0.45648933 -0 6.6169491 -2.3372107 -0 4.2894638 -1.9912367 -0
0.025 -1.7392812 -1.4046575 -0.012407488 0.91789748 -0.18434838 -0.0069269752 3.9491105 -1.3339646 -0.0051871163 6.9169491 0.45648933 -0 6.6169491 -2.3372107 -0 4.2894638 -1.9912367 -0
0.03 -1.7392812 -1.4046575 -0.012407488 0.91789748 -0.18434838 -0.0069269752 3.9491105 -1.3339646 -0.0051871163 6.9169491 0.45648933 -0 6.6169491 -2.3372107 -0 4.2894638 -1.9912367 -0
0.035 -1.7392812 -1.4046575 -0.012407488 0.91789748 -0.18434838 -0.0069269752 3.9491105 -1.3339646 -0.0051871163 6.9169491 0.45648933 -0 6.6169491 -2.3372107 -0 4.2894638 -1.9912367 -0
0.04 -1.7392812 -1.4046575 -0.012407488 0.91789748 -0.18434838 -0.0069269752 3.9491105 -1.3339646 -0.0051871163 6.9169491 0.45648933 -0 6.6169491 -2.3372107 -0 4.2894638 -1.9912367 -0
0.045 -1.7392812 -1.4046575 -0.012407488 0.91789748 -0.18434838 -0.0069269752 3.9491105 -1.3339646 -0.0051871163 6.9169491 0.45648933 -0 6.6169491 -2.3372107 -0 4.2894638 -1.9912367 -0
0.05 -1.7392812 -1.4046575 -0.012407488 0.91789748 -0.18434838 -0.0069269752 3.9491105 -1.3339646 -0.0051871163 6.9169491 0.45648933 -0 6.6169491 -2.3372107 -0 4.2894638 -1.9912367 -0
0.055 -1.7392812 -1.4046575 -0.012407488 0.91789748 -0.18434838 -0.0069269752 3.9491105 -1.3339646 -0.0051871163 6.9169491 0.45648933 -0 6.6169491 -2.3372107 -0 4.2894638 -1.9912367 -0
0.06 -1.7392812 -1.4046575 -0.012407488 0.91789748 -0.18434838 -0.0069269752 3.9491105 -1.3339646 -0.0051871163 6.9169491 0.45648933 -0 6.6169491 -2.3372107 -0 4.2894638 -1.9912367 -0
0.065 -1.7392812 -1.4046575 -0.012407488 0.91789748 -0.18434838 -0.0069269752 3.9491105 -1.3339646 -0.0051871163 6.9169491 0.45648933 -0 6.6169491 -2.3372107 -0 4.2894638 -1.9912367 -0
0.07 -1.7392812 -1.4046575 -0.012407488 0.91789748 -0.18434838 -0.0069269752 3.9491105 -1.3339646 -0.0051871163 6.9169491 0.45648933 -0 6.6169491 -2.3372107 -0 4.2894638 -1.9912367 -0
0.075 -1.7392821 -1.4046598 -0.012407487 0.91789626 -0.18434989 -0.0069269751 3.9491104 -1.3339632 -0.0051871163 6.9169493 0.45648754 -0 6.6169493 -2.337208 -0 4.2894641 -1.9912358 -0
0.08 -1.7394012 -1.4049592 -0.012407306 0.91773602 -0.18454672 -0.0069269649 3.9490954 -1.3337825 -0.0051871161 6.9169761 0.45625298 -0 6.6169761 -2.3368527 -0 4.2895053 -1.9911245 -0
0.085 -1.7403206 -1.4072723 -0.01240591 0.91649939 -0.1860652 -0.0069268863 3.9489796 -1.3323865 -0.005187115 6.9171831 0.45444153 -0 6.6171831 -2.3341095 -0 4.2898235 -1.9902643 -0
0.09 -1.7431824 -1.414483 -0.012401565 0.91265794 -0.19077519 -0.0069266416 3.9486162 -1.3280388 -0.0051871116 6.9178276 0.4488012 -0 6.6178276 -2.3255678 -0 4.2908137 -1.9875857 -0
0.095 -1.749101 -1.4290895 -0.0195542 0.90489933 -0.20025413 -0.0068522912 3.9478661 -1.3192069 -0.0052136885 6.9191362 0.43735034 -0 6.6191362 -2.3082256 -0 4.292822 -1.9821467 -0
0.1 -1.758354 -1.4525098 -0.021357039 0.89267086 -0.21508958 -0.0086532631 3.9466392 -1.3051562 -0.0052589892 6.921216 0.41915048 -0 6.621216 -2.2806594 -0 4.2960086 -1.9734996 -0
0.105 -1.7708458 -1.4845576 -0.021338002 0.87624236 -0.23480726 -0.0081144752 3.9449051 -1.286059 -0.0052471457 6.9240392 0.39444745 -0 6.6240392 -2.2432381 -0 4.300323 -1.9617575 -0
0.11 -1.7858748 -1.5239746 -0.013197456 0.85647924 -0.2581518 -0.0069191825 3.9426886 -1.2627997 -0.0052328019 6.9274717 0.3644116 -0 6.6274717 -2.1977303 -0 4.3055522 -1.9474728 -0
0.115 -1.8029017 -1.5685594 -0.014930823 0.83451759 -0.28355129 -0.0061905998 3.9400604 -1.2366708 -0.0052778448 6.9313202 0.33073464 -0 6.6313202 -2.1466953 -0 4.3113935 -1.9314463 -0
0.12 -1.8208891 -1.6161186 -0.018425959 0.81150736 -0.30949611 -0.0046689498 3.9371235 -1.2090917 -0.0036716461 6.9353748 0.29525018 -0 6.6353748 -2.0929093 -0 4.3175235 -1.9145479 -0
0.125 -1.8389093 -1.6645058 -0.018398514 0.788446 -0.33487191 -0.0056643845 3.9340063 -1.1813529 -0.0066928864 6.9394412 0.25965434 -0 6.6394412 -2.0389421 -0 4.323647 -1.8975846 -0
0.13 -1.8562854 -1.7118119 -0.015202573 0.76617379 -0.35868625 -0.0052615829 3.9308299 -1.1545799 -0.0066928864 6.9433602 0.22534121 -0 6.6433602 -1.9869081 -0 4.3295254 -1.8812213 -0
0.135 -1.8726077 -1.7564986 -0.013903304 0.74529964 -0.38036854 -0.004918561 3.9277092 -1.1295936 -0.0013427734 6.9470144 0.19333623 -0 6.6470144 -1.9383641 -0 4.3349868 -1.8659488 -0
0.14 -1.8875313 -1.7975306 -0.013880908 0.72623011 -0.39963697 -0.0059281708 3.9247578 -1.1068373 -0.0097351074 6.9503287 0.16429921 -0 6.6503287 -1.8943133 -0 4.3399237 -1.8520843 -0
0.145 -1.9007004 -1.8342897 -0.013860834 0.70925051 -0.41630904 -0.0077774582 3.9222002 -1.0857096 -0.047944641 6.9532643 0.13856987 -0 6.6532643 -1.8552787 -0 4.3442823 -1.8397971 -0
0.15 -1.9092681 -1.866498 -0.013839187 0.69536909 -0.42857469 -0.0061218005 3.9199043 -1.0685967 -0.013196945 6.9558075 0.11624276 -0 6.6558075 -1.8214936 -0 4.3480242 -1.8292128 -0
0.155 -1.9053723 -1.8944638 -0.012530268 0.68696191 -0.43142962 -0.0060154873 3.9190718 -1.0513565 -0.011665344 6.9579581 0.097245466 -0 6.6579581 -1.7930936 -0 4.3510899 -1.8205167 -0
0.16 -1.8798365 -1.919459 -0.011753227 0.68637102 -0.41899658 -0.0056510732 3.9203815 -1.0331299 -0.011665344 6.9597281 0.081385406 -0 6.6597281 -1.7700728 -0 4.3534268 -1.813873 -0
0.165 -1.8264258 -1.9438829 -0.0094279738 0.69453003 -0.38662746 -0.0059855591 3.924308 -1.0125008 -0.011665344 6.9611427 0.068383885 -0 6.6611427 -1.7522007 -0 4.3550253 -1.8093209 -0
0.17 -1.7424683 -1.9712021 -0.0087711552 0.71072059 -0.33171758 -0.005604342 3.9308706 -0.98860538 -0.013196945 6.9622384 0.05790919 -0 6.6622384 -1.7390171 -0 4.3559305 -1.8067403 -0
0.175 -1.6305785 -2.0040875 -0.012918663 0.73337443 -0.25299407 -0.0057354272 3.9397617 -0.96119193 -0.013196945 6.9630591 0.049607628 -0 6.6630591 -1.7298905 -0 4.356233 -1.8058778 -0
0.18 -1.4948272 -2.0441182 -0.035093385 0.76113069 -0.1506676 -0.007708023 3.9505954 -0.93041066 -0.013196945 6.9636492 0.043130517 -0 6.6636492 -1.7241027 -0 4.3560487 -1.8063975 -0
0.185 -1.3393008 -2.0908079 -0.039578753 0.79323178 -0.02897795 -0.0066314013 3.963042 -0.896672 -0.014144516 6.9638033 0.038303925 -0 6.6638033 -1.7208608 -0 4.3552954 -1.8077721 -0
0.19 -1.172622 -2.1395851 -0.039657652 0.82767069 0.08789785 -0.0080941221 3.9767619 -0.86036117 -0.014144516 6.9621021 0.03572725 -0 6.6621021 -1.7190957 -0 4.3528801 -1.8086853 -0
0.195 -1.008733 -2.1831596 -0.041997418 0.86495571 0.18990865 -0.024055471 3.9913856 -0.82195074 -0.014144516 6.9561339 0.036642704 -0 6.6561339 -1.7175588 -0 4.3468752 -1.8072095 -0
0.2 -0.86074878 -2.2150284 -0.034900344 0.90567137 0.27585288 -0.028645833 4.0068347 -0.78190189 -0.013196945 6.9437732 0.042153565 -0 6.6437732 -1.7151879 -0 4.335574 -1.8016791 -0
0.205 -0.73899256 -2.2313037 -0.034952631 0.94934609 0.34588795 0 4.0227784 -0.74151375 -0.013763428 6.9240185 0.052707783 -0 6.6240185 -1.7113375 -0 4.3181839 -1.7912602 -0
0.21 -0.64565811 -2.2312081 -0.03433126 0.99415302 0.40381095 -0.0088541667 4.0385074 -0.7025844 -0.013763428 6.8971463 0.067999841 -0 6.5971463 -1.7058114 -0 4.2949544 -1.7760481 -0
0.215 -0.57954595 -2.2162789 -0.032562976 1.0381826 0.4513343 0 4.0532281 -0.66662967 -0.013763428 6.8644324 0.087139197 -0 6.5644324 -1.6987705 -0 4.2669503 -1.7568599 -0
0.22 -0.536736 -2.1895228 -0.031299271 1.0795395 0.49081176 0 4.0661822 -0.63468777 -0.016560872 6.8277175 0.10891462 -0 6.5277175 -1.6905954 -0 4.235697 -1.7349168 -0
0.225 -0.51282284 -2.1544967 -0.030557009 1.1172694 0.52271813 0 4.0768095 -0.60725571 -0.016560872 6.7889986 0.13204278 -0 6.4889986 -1.6817569 -0 4.2028474 -1.7115485 -0
0.23 -0.50299506 -2.1147051 -0.030411387 1.1504485 0.54907934 0 4.0849312 -0.5842818 -0.016560872 6.7531495 0.15535023 -0 6.4531495 -1.6727191 -0 4.1699334 -1.687979 -0
0.235 -0.50302964 -2.0731757 -0.030413425 1.1790609 0.57036725 0 4.0906994 -0.56538312 -0.016560872 6.7192712 0.1778788 -0 6.4192712 -1.6638795 -0 4.1382187 -1.6652047 -0
0.24 -0.5094545 -2.0322818 -0.029679033 1.2033225 0.58727064 0 4.0944719 -0.55002918 -0.012532552 6.6876688 0.1989261 -0 6.3876688 -1.6555413 -0 4.1086368 -1.6439498 -0
0.245 -0.51962573 -1.9937102 -0.028371486 1.2235887 0.60056793 0 4.0966684 -0.53767214 -0.012532552 6.6589944 0.21804024 -0 6.3589944 -1.647909 -0 4.0817914 -1.6246737 -0
0.25 -0.53169506 -1.9585192 -0.028971569 1.2402946 0.61098093 0 4.0976067 -0.52786525 -0.011757294 6.6335834 0.23498733 -0 6.3335834 -1.6410974 -0 4.0579951 -1.607608 -0
0.255 -0.54396474 -1.9273129 -0.022293228 1.2539052 0.61911717 0 4.0977719 -0.52007423 -0.010414521 6.611518 0.2497069 -0 6.311518 -1.6351483 -0 4.0373258 -1.5928063 -0
0.26 -0.55596488 -1.900214 -0.022297808 1.265031 0.62495456 0 4.0974561 -0.51391469 -0.010414521 6.5926948 0.26226527 -0 6.2926948 -1.6300486 -0 4.0196886 -1.5801934 -0
0.265 -0.56662341 -1.8771938 -0.022301948 1.2739483 0.62939814 0 4.0968736 -0.5090681 -0.011189779 6.5768857 0.27281317 -0 6.2768857 -1.6257478 -0 4.0048719 -1.5696106 -0
0.27 -0.57610045 -1.8579168 -0.022609769 1.2810243 0.63280461 -0.0001015473 4.0961727 -0.50527288 -0.011189779 6.5637904 0.28155056 -0 6.2637904 -1.6221724 -0 3.9925961 -1.5608514 -0
0.275 -0.5842928 -1.842005 -0.022612887 1.2865948 0.63540883 -0.0001015473 4.0954498 -0.50231512 -0.011189779 6.5530758 0.28869943 -0 6.2530758 -1.6192377 -0 3.9825506 -1.5536889 -0
0.28 -0.59123434 -1.8290335 -0.022615509 1.2910013 0.63720177 -0.00067885256 4.0947631 -0.50002112 -0.011189779 6.55 0.29448419 -0 6.2444057 -1.6168564 -0 3.974421 -1.5478954 -0
0.285 -0.59718732 -1.8197859 -0.022617679 1.292131 0.63781391 -0.00067885256 4.0935179 -0.49368836 -0.011189779 6.55 0.2991144 -0 6.2374662 -1.6149479 -0 3.9679201 -1.5432628 -0
0.29 -0.60165957 -1.8132278 -0.022619453 1.2923028 0.63804386 0 4.0932081 -0.4864513 -0.011189779 6.55 0.30269087 -0 6.2321118 -1.6135289 -0 3.9630562 -1.5397694 -0
0.295 -0.60330045 -1.8097161 -0.022620896 1.2931209 0.63831416 0 4.0969177 -0.47812871 -0.011189779 6.55 0.30509365 -0 6.2285401 -1.6128224 -0 3.9604624 -1.5377836 -0
0.3 -0.60049806 -1.8104279 -0.022084355 1.2953171 0.63880107 0 4.1081147 -0.46616139 -0.01060815 6.55 0.30611108 -0 6.2270908 -1.6131292 -0 3.9610097 -1.5378238 -0
0.305 -0.59288179 -1.8208482 -0.022623037 1.2904397 0.63718649 0 4.1265193 -0.43067555 -0.014748368 6.55 0.30569841 -0 6.2280661 -1.6148092 -0 3.9653444 -1.5402758 -0
0.31 -0.57901971 -1.8395378 -0.022623845 1.2834483 0.63469771 0 4.1540041 -0.37915912 -0.0089598495 6.55 0.30459065 -0 6.2321993 -1.6191843 -0 3.9740439 -1.5454919 -0
0.315 -0.55786837 -1.866866 -0.02262454 1.2759166 0.63139142 0 4.1899189 -0.31378417 -0.0048749287 6.55 0.30436564 -0 6.2407454 -1.6286794 -0 3.9876934 -1.5538423 -0
0.32 -0.52790315 -1.902713 -0.022625157 1.2695445 0.62752456 0 4.2327489 -0.23849635 -0.0053710938 6.5547497 0.30666561 -0 6.2547497 -1.6455377 -0 4.0065079 -1.565482 -0
0.325 -0.49062846 -1.9458491 -0.023342674 1.2655525 0.62362262 0 4.2805695 -0.15781707 -0.0053710938 6.5745062 0.31256776 -0 6.2745062 -1.6708279 -0 4.0301002 -1.5802025 -0
0.33 -0.44729338 -1.9945751 -0.028410102 1.2645493 0.61986202 0 4.331329 -0.075973917 -0.0071614583 6.5994632 0.32237909 -0 6.2994632 -1.7042026 -0 4.0575256 -1.5974495 -0
0.335 -0.3996031 -2.046872 -0.028410587 1.2665024 0.61618826 0 4.3830306 0.0036569023 -0.0097351074 6.6284287 0.33573514 -0 6.3284287 -1.7441772 -0 4.0874899 -1.6164399 -0
0.34 -0.35063695 -2.1004943 -0.029723156 1.2708691 0.61253851 0 4.4338384 0.078687326 -0.011189779 6.6598827 0.35183108 -0 6.3598827 -1.7886131 -0 4.1185921 -1.6363045 -0
0.345 -0.30195421 -2.1535523 -0.030440522 1.2767746 0.6090845 0 4.4821682 0.14754795 -0.012532552 6.6922666 0.36966475 -0 6.3922666 -1.835189 -0 4.1495248 -1.6562111 -0
0.35 -0.25479864 -2.1956047 -0.029723939 1.2995147 0.61286198 0 4.5358309 0.10730289 0.0062906901 6.724191 0.38823064 -0 6.424191 -1.8817544 -0 4.1792024 -1.6754492 -0
0.355 -0.21292527 -2.2471184 -0.029129104 1.2983881 0.60632859 -0.0012867496 4.5475248 0.094359339 -0.016560872 6.7545512 0.40664686 -0 6.4545512 -1.9265413 -0 4.20682 -1.6934736 -0
0.36 -0.20175641 -2.2944879 -0.030441515 1.285554 0.5944767 -0.0021606416 4.5430336 0.098894013 -0.016560872 6.7825658 0.42421991 -0 6.4825658 -1.9682507 -0 4.2318571 -1.709915 -0
0.365 -0.20004969 -2.3345981 -0.03115872 1.2745381 0.58306176 -0.0027670211 4.5401309 0.10237699 -0.019582113 6.8077769 0.4404622 -0 6.5077769 -2.0060507 -0 4.2540477 -1.7245674 -0
0.37 -0.19880331 -2.3701395 -0.031146351 1.2638813 0.57204709 -0.0049363246 4.5359303 0.10769081 -0.019582113 6.8329292 0.45507848 -0 6.5329292 -2.0395191 -0 4.2733315 -1.7373619 -0
